id,latitud,longitud
1,-34.5747972133939,-58.3996993901721
2,-34.5758889330622,-58.3992247795852
3,-34.5897969632814,-58.3928572859889
4,-34.595873389407,-58.4078935678927
5,-34.5946267540835,-58.3927814783047
6,-34.5978600567115,-58.3940473271239
7,-34.5894698327068,-58.4052485005335
8,-34.5991946266133,-58.4023579732655
9,-34.5948612804092,-58.3996520302355
10,-34.5907944172869,-58.4045003591759
11,-34.5935883681466,-58.394465629182
12,-34.5860933461985,-58.4039492794947
13,-34.5964904556693,-58.4058340999332
14,-34.5836789950777,-58.4054812609688
15,-34.5985787253006,-58.3869678392848
16,-34.5757981590195,-58.3913947293432
17,-34.5953968159979,-58.3927601786566
18,-34.5857229602296,-58.3925595057819
19,-34.5966546274579,-58.4016631881162
20,-34.5970980012622,-58.3971864939137
21,-34.5910222268648,-58.4070626339306
22,-34.589429903917,-58.4087317455596
23,-34.582424902226,-58.3912344071254
24,-34.578690677028,-58.3903428953629
25,-34.5941441645152,-58.4071852127209
26,-34.5739538926336,-58.3954305461228
27,-34.5827868434143,-58.3953873371768
28,-34.5726751523996,-58.3972438441259
29,-34.5795839634712,-58.3963488329825
30,-34.5965372113116,-58.3969332603097
31,-34.5943930701903,-58.4087737287344
32,-34.5859888989017,-58.3917821534418
33,-34.5750449638823,-58.3949416159087
34,-34.5989780320842,-58.3932546192992
35,-34.5958617314014,-58.408949724858
36,-34.5841389703568,-58.3925390707379
37,-34.5939052068537,-58.4057792758863
38,-34.5973238092533,-58.3927161958013
39,-34.593649525337,-58.4063403630183
40,-34.5872080077477,-58.4086726449956
41,-34.5935619834041,-58.3932404557827
42,-34.5942978199784,-58.3953850342362
43,-34.5954619732021,-58.4124725629448
44,-34.5876771461094,-58.3919350251455
45,-34.5870027289745,-58.4084605860208
46,-34.5916989537824,-58.4027004765125
47,-34.5906572530715,-58.3976100219521
48,-34.5881619002876,-58.3851431258504
49,-34.5790329739151,-58.3957015667741
50,-34.5988574449035,-58.3929238864517
51,-34.5890483372169,-58.3890201700523
52,-34.5908008635173,-58.4017125376798
53,-34.5962454361639,-58.3897433553348
